"Time (s)","Sound pressure level (dB)"
1.335760000E2,6.242194617E1
1.338200000E2,5.570863747E1
1.340710000E2,5.755877138E1
1.343660000E2,6.819206156E1
1.346260000E2,6.094769164E1
1.349310000E2,6.447198163E1
1.351810000E2,5.482297950E1
1.354630000E2,6.327012623E1
1.357210000E2,5.723157337E1
1.359770000E2,5.835004111E1
1.362140000E2,6.413045068E1
1.365290000E2,6.022343539E1
1.368110000E2,5.969265006E1
1.371070000E2,5.589766444E1
1.373670000E2,6.089100679E1
1.376970000E2,6.762783521E1
1.379410000E2,5.740809854E1
1.381870000E2,6.711182247E1
1.384650000E2,6.290175574E1
1.387060000E2,6.352322572E1
1.390400000E2,5.897504025E1
1.392980000E2,5.872568346E1
1.396520000E2,5.582882684E1
1.399140000E2,5.874428562E1
1.402160000E2,5.275369064E1
1.404650000E2,5.181123336E1
1.407250000E2,4.758951485E1
1.410550000E2,4.601470876E1
1.413500000E2,5.203790008E1
1.416310000E2,5.380793436E1
1.418780000E2,5.006781735E1
1.421580000E2,4.792469964E1
1.424020000E2,5.136650820E1
1.427060000E2,5.127969468E1
1.430200000E2,5.304643312E1
1.433210000E2,5.218299100E1
1.436050000E2,5.568762266E1
1.439010000E2,5.522696018E1
1.442570000E2,5.919224289E1
1.445880000E2,6.201398016E1
1.448680000E2,5.750742223E1
1.451160000E2,5.811963790E1
1.454090000E2,5.695462128E1
1.456560000E2,5.854812337E1
1.458980000E2,5.886107911E1
1.461720000E2,5.454171305E1
1.464480000E2,5.674410925E1
1.466770000E2,5.450912101E1
1.469270000E2,5.953864028E1
1.471790000E2,6.097527460E1
1.475260000E2,5.825769450E1
1.478290000E2,5.780473579E1
1.480790000E2,6.185542851E1
1.483350000E2,5.390929394E1
1.486330000E2,5.400087479E1
1.488750000E2,5.328656685E1
1.491190000E2,5.599536596E1
1.494200000E2,5.721648542E1
1.497150000E2,5.787493165E1
1.500380000E2,5.480047158E1
1.503480000E2,5.002404450E1
1.506590000E2,5.486151348E1
1.509700000E2,6.245235750E1
1.512360000E2,5.831236552E1
1.514820000E2,6.253825815E1
1.517260000E2,6.440134635E1
1.520120000E2,5.646251942E1
1.523080000E2,5.569851104E1
1.525630000E2,5.574195002E1
1.528610000E2,6.073633455E1
1.531220000E2,5.704364811E1
1.533960000E2,5.858521931E1
1.536900000E2,6.334346239E1
1.540080000E2,5.734505299E1
1.542490000E2,6.522555977E1
1.544980000E2,5.500712815E1
1.547420000E2,5.698741268E1
1.549830000E2,5.097374633E1
1.552760000E2,5.421781291E1
1.555100000E2,5.276919678E1
1.558070000E2,5.444895965E1
1.560410000E2,5.023818561E1
1.563440000E2,5.460917302E1
1.565880000E2,5.459938847E1
1.568920000E2,5.843131092E1
1.572210000E2,5.876667307E1
1.574850000E2,5.735202828E1
1.577300000E2,5.496399564E1
1.580290000E2,5.249359356E1
1.582920000E2,5.216967072E1
1.585400000E2,5.506360532E1
1.588040000E2,4.854470136E1
1.590480000E2,5.455647594E1
1.593040000E2,5.480802962E1
1.595560000E2,5.117555202E1
1.598230000E2,5.525001141E1
1.600680000E2,6.028739680E1
1.604080000E2,6.051466285E1
1.606910000E2,5.941686107E1
1.609450000E2,6.263789003E1
1.611920000E2,5.862463866E1
1.614980000E2,5.858673558E1
1.617730000E2,5.766546261E1
